wavelength[nm],intensity [a.u.]
296.23,4.9344739331306915
305.25,4.882801922586371
315.33,6.413458957167357
325.45,6.759255270663693
336.13,8.515591910049263
352.72,5.497168225293202
357.01,6.473890696352274
374.74,5.575949103146316
380.13,5.54907608489522
515.46,5.389071729816501
563.16,5.298317366548036
655.78,5.924255797414532
