wavelength[nm],intensity [a.u.]
281.41,6.066108090103747
295.7,8.496173824192162
315.33,10.178122378638475
328.13,7.522400231387125
336.67,10.800248819801778
353.26,9.358674166481876
357.01,10.230774879580268
366.68,6.9363427358340495
370.44,7.914252278742441
375.28,8.856803356728378
380.13,9.11866358340428
390.92,7.828038032125829
399.02,8.188966863648876
405.52,7.940939762327791
408.77,6.095824562432225
413.65,6.395261598115449
419.61,6.8966943316227125
426.68,7.374001859350161
434.29,6.60934924316738
441.38,5.442417710521793
448.47,5.940171252720432
456.11,6.003887067106539
464.87,5.652489180268651
470.34,5.455321115357702
480.77,5.003946305945459
490.66,5.017279836814924
539.27,6.148468295917647
573.2,6.915723448631314
578.79,7.301147805856032
583.26,7.526178913346146
589.41,7.505492274737424
594.44,7.432483807917119
600.04,7.431299675155903
605.65,7.29776828253138
611.83,6.846943139585379
616.88,6.398594934535208
623.63,6.570882962339584
630.39,7.19668657083435
637.15,7.555381944240273
645.04,7.937374696163295
652.96,8.314097335405807
660.87,8.635153989049803
668.8,8.595079730073309
677.31,8.360773272144936
684.12,7.738052297689316
713.73,6.577861357721047
724.58,7.554334823725748
736.59,8.241966560231802
748.05,8.762176509334903
760.11,9.010302809376448
771.61,9.169414205363537
784.86,6.628041376179533
799.87,6.230481447578482
850.92,7.116394144093465
868.4,8.698013622083925
885.93,9.24116051431607
914.06,5.988961416889864
935.22,5.680172609017068
964.72,5.823045895483019
988.99,5.908082938168931
1043.11,7.580189417944541
