,0
0,134.0
1,156.0
2,499.0
3,61322.0
4,58690.0
5,57438.0
6,57040.0
7,56602.0
8,56332.0
9,56383.0
10,56007.0
11,55986.0
12,55835.0
13,55655.0
14,55613.0
15,55425.0
16,55391.0
17,55378.0
18,55353.0
19,55304.0
20,55155.0
21,55103.0
22,55151.0
23,55046.0
24,55149.0
25,54960.0
26,54980.0
27,54857.0
28,54780.0
29,54904.0
30,54719.0
31,54860.0
32,54665.0
33,54662.0
34,54553.0
35,54521.0
36,54570.0
37,54511.0
38,54479.0
39,54517.0
40,54472.0
41,54334.0
42,54339.0
43,54402.0
44,54327.0
45,54288.0
46,54342.0
47,54310.0
48,54271.0
49,54408.0
50,54177.0
51,54128.0
52,54088.0
53,54123.0
54,54167.0
55,54133.0
56,54085.0
57,54151.0
58,54020.0
59,53981.0
60,53901.0
61,53935.0
62,53898.0
63,53982.0
64,53906.0
65,53843.0
66,53796.0
67,53801.0
68,53739.0
69,53800.0
70,53885.0
71,53712.0
72,53690.0
73,53713.0
74,53604.0
75,53579.0
76,53681.0
77,53583.0
78,53652.0
79,53462.0
80,156.0
81,132.0
82,152.0
83,154.0
84,148.0
85,235.0
86,160.0
87,154.0
88,159.0
89,152.0
90,153.0
91,152.0
92,152.0
93,152.0
94,822.0
95,185.0
96,156.0
97,140.0
98,155.0
99,157.0
100,157.0
101,157.0
102,160.0
103,1053.0
104,154.0
105,158.0
106,155.0
107,162.0
108,162.0
109,150.0
110,155.0
111,145.0
112,151.0
113,167.0
114,147.0
115,159.0
116,146.0
117,152.0
118,305.0
119,150.0
120,450.0
121,144.0
122,299.0
123,150.0
124,155.0
125,162.0
126,140.0
127,152.0
128,160.0
129,155.0
130,367.0
131,157.0
132,155.0
133,155.0
134,156.0
135,153.0
136,480.0
