wavelength[nm],intensity [a.u.]
295.7,5766
315.33,29113
336.67,53973
353.26,12909
357.01,30584
370.44,3171
374.74,7783
380.13,10162
393.62,2324
399.02,3950
404.98,3220
573.76,1324
578.79,1841
583.26,2299
588.29,2310
593.88,2175
598.92,2083
604.53,1840
610.14,1152
629.82,1641
636.58,2449
643.91,3441
651.26,4993
659.18,6830
667.1,6712
675.61,5263
684.12,2702
724.58,2338
734.3,4688
746.33,7773
758.39,9762
771.04,12132
867.82,6951
885.34,12620
1042.52,2298
