,81
49.75,0.0
50.25,0.0
50.75,0.000209779940842
51.25,8.391197633682267e-05
51.76,0.0006293398225261
52.26,0.000818141769284
52.76,0.0
53.26,0.0002307579349262
53.76,0.0
54.26,0.0
54.76,0.0004824938639367
55.27,0.0
55.77,0.0
56.27,2.0977994084205668e-05
56.77,0.0003356479053472
57.27,0.0
57.77,0.0002936919171788
58.28,0.0
58.78,0.0
59.28,0.0002517359290104
59.78,0.0002307579349262
60.29,0.0002517359290104
60.79,0.0
61.29,0.0002936919171788
61.79,0.0001678239526736
62.3,0.0
62.8,0.0
63.3,0.0002727139230946
63.8,0.0
64.31,0.0006712958106945
64.81,0.0
65.31,0.0006083618284419
65.81,0.0001888019467578
66.31,0.0004824938639367
66.81,0.0
67.31,0.0003776038935157
67.83,0.0
68.33,0.0
68.83,0.0002307579349262
69.34,0.0
69.84,0.0001678239526736
70.34,0.0
70.84,0.000104889970421
71.34,0.0001468459585894
71.86,0.0006712958106945
72.36,0.0003566258994314
72.86,0.0
73.37,0.001027921710126
73.87,0.0002936919171788
74.37,0.0
74.88,0.0002307579349262
75.38,0.0009649877278734
75.89,0.0
76.39,0.0003776038935157
76.9,0.0
77.4,0.0
77.9,0.0
78.41,0.0
78.91,0.0
79.42,0.0
79.92,0.0004615158698525
80.43,0.0
80.93,0.0005034718580209
81.44,0.0006083618284419
81.94,0.0003985818875999
82.45,0.0005244498521051
82.95,0.0
83.46,0.0004195598816841
83.96,0.0
84.47,0.0002307579349262
84.97,0.0
85.48,0.0002517359290104
85.98,0.0008391197633682
86.49,0.0
87.0,0.0008600977574524
87.5,0.0003985818875999
88.01,0.0
88.51,0.0004195598816841
89.02,0.0
89.52,0.0
90.03,0.0
90.54,0.0006922738047787
91.04,0.000314669911263
91.55,0.000104889970421
92.05,0.0007971637751998
92.56,0.0008810757515366
93.07,0.0001468459585894
93.57,8.391197633682267e-05
94.08,0.0001468459585894
94.59,0.0004824938639367
95.09,0.0002307579349262
95.6,0.0
96.11,0.0006712958106945
96.61,0.0
97.12,0.0006712958106945
97.63,0.0002307579349262
98.13,0.0
98.64,0.0003985818875999
99.15,0.0007132517988629
99.66,0.0
100.16,0.0
100.67,0.0003985818875999
101.18,0.0
101.68,0.0
102.19,0.0007761857811156
102.7,0.0007132517988629
103.21,0.0004615158698525
103.71,0.0
104.22,0.0011537896746313
104.73,0.0
105.24,0.0003985818875999
105.75,0.0
106.25,0.0
106.76,0.0008391197633682
107.27,0.0011747676687155
107.78,0.0005244498521051
108.29,0.0005873838343577
108.79,0.0008600977574524
109.3,0.0
109.81,0.0006922738047787
110.32,0.0005034718580209
